sx;rk;yr;dg;yd;sl
"""male"";""full"";25;""doctorate"";3536350"
"""male"";""full"";13;""doctorate"";2235350"
"""male"";""full"";10;""doctorate"";2328200"
"""female"";""full"";7;""doctorate"";2726775"
"""male"";""full"";19;""masters"";3033696"
"""male"";""full"";16;""doctorate"";2128516"
"""female"";""full"";0;""masters"";3224900"
"""male"";""full"";16;""doctorate"";1831909"
"""male"";""full"";13;""masters"";3031850"
"""male"";""full"";13;""masters"";3132850"
"""male"";""full"";12;""doctorate"";2227025"
"""male"";""associate"";15;""doctorate"";1924750"
"""male"";""full"";9;""doctorate"";1728200"
"""male"";""associate"";9;""masters"";2723712"
"""male"";""full"";9;""doctorate"";2425748"
"""male"";""full"";7;""doctorate"";1529342"
"""male"";""full"";13;""doctorate"";2031114"
"""male"";""associate"";11;""masters"";1424742"
"""male"";""associate"";10;""masters"";1522906"
"""male"";""full"";6;""masters"";2124450"
"""male"";""assistant"";16;""masters"";2319175"
"""male"";""associate"";8;""masters"";3120525"
"""male"";""full"";7;""doctorate"";1327959"
"""female"";""full"";8;""doctorate"";2438045"
"""male"";""associate"";9;""doctorate"";1224832"
"""male"";""full"";5;""doctorate"";1825400"
"""male"";""associate"";11;""doctorate"";1424800"
"""female"";""full"";5;""doctorate"";1625500"
"""male"";""associate"";3;""masters"";726182"
"""male"";""associate"";3;""masters"";1723725"
"""female"";""assistant"";10;""masters"";1521600"
"""male"";""associate"";11;""masters"";3123300"
"""male"";""assistant"";9;""masters"";1423713"
"""female"";""associate"";4;""masters"";3320690"
"""female"";""associate"";6;""masters"";2922450"
"""male"";""associate"";1;""doctorate"";920850"
"""female"";""assistant"";8;""doctorate"";1418304"
"""male"";""assistant"";4;""doctorate"";417095"
"""male"";""assistant"";4;""doctorate"";516700"
"""male"";""assistant"";4;""doctorate"";417600"
"""male"";""assistant"";3;""doctorate"";418075"
"""male"";""assistant"";3;""masters"";1118000"
"""male"";""associate"";0;""doctorate"";720999"
"""female"";""assistant"";3;""doctorate"";317250"
"""male"";""assistant"";2;""doctorate"";316500"
"""male"";""assistant"";2;""doctorate"";116094"
"""female"";""assistant"";2;""doctorate"";616150"
"""female"";""assistant"";2;""doctorate"";215350"
"""male"";""assistant"";1;""doctorate"";116244"
"""female"";""assistant"";1;""doctorate"";116686"
"""female"";""assistant"";1;""doctorate"";115000"
"""female"";""assistant"";0;""doctorate"";220300"
